,g,date,unnamed: 2_level_1,opp,w/l,tm,opp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,trb,ast,stl,blk,tov,pf,unnamed: 23_level_1,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,trb,ast,stl,blk,tov,pf,season,team
10,11,2022-12-10,,Texas-Rio Grande Valley,L,82,95,29,65,.446,8,23,.348,16,21,.762,7,27,12,9,7,15,24,,32,58,.552,9,19,.474,22,35,.629,11,41,16,8,3,21,18,2023,houston baptist
11,12,2022-12-18,@,Texas-Rio Grande Valley,L,90,100,29,62,.468,6,19,.316,26,35,.743,9,27,21,8,3,12,26,,33,60,.550,7,22,.318,27,37,.730,9,33,22,6,5,12,28,2023,houston baptist
12,13,2022-12-21,@,Texas Tech,L,67,111,22,61,.361,9,24,.375,14,26,.538,10,28,11,7,3,22,19,,40,64,.625,9,22,.409,22,28,.786,6,34,27,11,4,13,18,2023,houston baptist
13,14,2022-12-30,,New Orleans,W (1 OT),101,96,36,64,.563,9,21,.429,20,23,.870,10,34,16,9,1,19,21,,35,64,.547,13,17,.765,13,23,.565,10,28,20,7,2,19,23,2023,houston baptist
14,15,2023-01-05,@,Southeastern Louisiana,L,59,71,18,46,.391,6,22,.273,17,18,.944,5,24,11,8,3,21,21,,24,57,.421,6,16,.375,17,22,.773,15,38,13,8,0,17,18,2023,houston baptist
15,16,2023-01-07,@,New Orleans,L,59,82,16,48,.333,3,18,.167,24,33,.727,12,33,8,7,3,21,18,,33,64,.516,10,19,.526,6,14,.429,11,33,20,11,2,12,26,2023,houston baptist
16,17,2023-01-12,,East Texas A&M,W,68,59,24,50,.480,9,20,.450,11,17,.647,5,25,14,8,1,15,17,,19,50,.380,6,23,.261,15,21,.714,11,34,6,6,4,20,18,2023,houston baptist
17,18,2023-01-14,@,McNeese State,W,90,81,28,50,.560,10,22,.455,24,27,.889,4,28,19,4,0,13,16,,31,65,.477,12,30,.400,7,10,.700,11,29,17,7,2,10,24,2023,houston baptist
18,19,2023-01-19,,Incarnate Word,L,78,89,25,66,.379,6,21,.286,22,29,.759,17,34,13,3,1,11,23,,32,55,.582,4,10,.400,21,28,.750,6,28,17,4,6,10,23,2023,houston baptist
19,20,2023-01-21,,Texas A&M-Corpus Christi,W,90,78,28,52,.538,11,22,.500,23,30,.767,6,27,18,4,5,11,23,,23,62,.371,8,27,.296,24,29,.828,10,32,11,6,1,10,26,2023,houston baptist
20,,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,2023,houston baptist
21,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,2023,houston baptist
22,21,2023-01-26,@,Northwestern State,L,63,82,18,50,.360,2,12,.167,25,37,.676,6,27,7,2,2,11,13,,33,74,.446,13,33,.394,3,5,.600,15,38,17,5,6,9,25,2023,houston baptist
23,22,2023-01-28,@,East Texas A&M,L,76,77,23,52,.442,8,22,.364,22,29,.759,7,37,13,2,1,10,21,,25,60,.417,10,30,.333,17,22,.773,8,25,15,2,4,6,24,2023,houston baptist
24,23,2023-02-02,,Northwestern State,L,76,94,22,50,.440,7,19,.368,25,31,.806,6,27,7,6,2,19,20,,33,60,.550,11,25,.440,17,20,.850,5,27,19,15,2,13,26,2023,houston baptist
25,24,2023-02-04,,Nicholls State,L,91,92,28,57,.491,14,32,.438,21,24,.875,11,32,19,2,5,16,15,,37,73,.507,8,22,.364,10,13,.769,13,31,17,10,3,8,23,2023,houston baptist
26,25,2023-02-09,@,Texas A&M-Corpus Christi,L,68,91,20,63,.317,8,32,.250,20,29,.690,14,32,10,4,2,11,23,,28,56,.500,6,18,.333,29,36,.806,10,41,15,7,3,10,24,2023,houston baptist
27,26,2023-02-11,@,Incarnate Word,W,84,78,26,51,.510,7,16,.438,25,30,.833,9,29,12,6,2,9,12,,31,62,.500,7,19,.368,9,10,.900,8,26,12,6,1,8,22,2023,houston baptist
28,27,2023-02-16,@,Lamar,L,75,91,22,49,.449,12,25,.480,19,28,.679,6,23,18,5,1,10,21,,34,52,.654,6,14,.429,17,25,.680,6,32,21,5,3,7,21,2023,houston baptist
29,28,2023-02-18,,Lamar,W,93,74,34,63,.540,8,22,.364,17,27,.630,11,42,19,7,10,13,19,,27,66,.409,3,10,.300,17,23,.739,10,30,10,10,3,10,23,2023,houston baptist
30,29,2023-02-23,,McNeese State,W,85,80,31,65,.477,7,23,.304,16,23,.696,11,38,20,4,2,8,14,,32,67,.478,8,21,.381,8,14,.571,9,32,15,1,0,8,21,2023,houston baptist
31,30,2023-02-25,@,Nicholls State,L,64,68,19,53,.358,11,32,.344,15,20,.750,8,38,14,6,3,20,21,,26,56,.464,6,21,.286,10,23,.435,3,27,13,11,1,10,19,2023,houston baptist
32,31,2023-03-01,,Southeastern Louisiana,L,64,80,22,51,.431,10,23,.435,10,17,.588,4,29,17,6,3,17,17,,32,69,.464,8,18,.444,8,12,.667,13,39,22,10,3,11,18,2023,houston baptist
33,32,2023-03-05,N,New Orleans,L,69,90,26,65,.400,7,24,.292,10,19,.526,9,29,11,3,0,15,18,,36,64,.563,6,11,.545,12,24,.500,9,44,17,7,2,12,18,2023,houston baptist
0,1,2022-11-07,@,Kentucky,L,63,95,23,67,.343,7,25,.280,10,13,.769,11,33,10,4,1,16,19,,34,62,.548,11,24,.458,16,28,.571,8,40,20,10,5,10,12,2023,howard
1,2,2022-11-09,,District of Columbia,W,87,74,28,62,.452,5,19,.263,26,33,.788,16,41,20,5,7,17,16,,27,63,.429,5,18,.278,15,18,.833,4,22,14,12,3,18,29,2023,howard
2,3,2022-11-11,@,George Washington,L,75,85,28,64,.438,9,29,.310,10,16,.625,6,20,21,10,4,6,20,,27,49,.551,8,21,.381,23,29,.793,6,34,18,3,4,13,17,2023,howard
3,4,2022-11-13,,Gallaudet,W,108,56,38,61,.623,14,31,.452,18,26,.692,9,30,23,13,6,14,22,,17,42,.405,5,16,.313,17,28,.607,4,17,6,6,0,23,22,2023,howard
4,5,2022-11-15,,James Madison,L,69,95,30,61,.492,5,19,.263,4,5,.800,4,16,14,10,1,19,13,,38,64,.594,14,25,.560,5,9,.556,11,34,13,13,1,17,11,2023,howard
5,6,2022-11-18,N,Wyoming,L,71,78,27,59,.458,7,20,.350,10,12,.833,9,25,8,4,2,12,17,,29,47,.617,7,13,.538,13,18,.722,1,20,9,5,2,10,12,2023,howard
6,7,2022-11-19,N,Buffalo,W,63,59,20,54,.370,5,19,.263,18,24,.750,10,36,9,8,4,16,14,,20,54,.370,8,25,.320,11,18,.611,6,28,8,6,1,14,19,2023,howard
7,8,2022-11-21,N,Belmont,L,73,96,23,61,.377,8,20,.400,19,22,.864,11,31,13,7,3,15,20,,30,58,.517,11,23,.478,25,31,.806,6,33,17,9,2,10,18,2023,howard
8,9,2022-11-26,@,Austin Peay,W,56,55,20,43,.465,5,13,.385,11,15,.733,3,37,11,3,3,18,14,,20,66,.303,8,30,.267,7,11,.636,10,31,14,8,3,8,9,2023,howard
9,10,2022-11-30,@,Yale,L,40,86,18,52,.346,3,16,.188,1,8,.125,6,23,10,4,1,15,11,,31,63,.492,18,41,.439,6,6,1.000,12,41,27,9,4,10,14,2023,howard
10,11,2022-12-03,@,Hampton,L,65,74,22,53,.415,6,15,.400,15,25,.600,11,34,9,7,2,17,26,,22,56,.393,9,27,.333,21,32,.656,10,33,10,9,1,13,21,2023,howard
11,12,2022-12-11,@,VCU,L,60,70,22,57,.386,6,18,.333,10,14,.714,11,35,9,9,3,17,19,,24,52,.462,5,21,.238,17,27,.630,6,27,12,12,8,13,12,2023,howard
12,13,2022-12-13,,Florida International,W,71,59,26,58,.448,8,20,.400,11,15,.733,10,39,13,10,6,18,10,,23,65,.354,7,25,.280,6,10,.600,11,33,11,9,3,18,16,2023,howard
13,14,2022-12-18,@,Harvard,W,66,54,26,54,.481,5,19,.263,9,12,.750,5,33,10,6,3,15,12,,21,61,.344,3,28,.107,9,12,.750,10,32,12,10,3,15,16,2023,howard
14,15,2022-12-21,,Mount St. Mary's,W,63,62,23,62,.371,8,21,.381,9,13,.692,12,34,14,11,1,18,10,,26,58,.448,7,18,.389,3,5,.600,8,33,17,12,4,17,14,2023,howard
15,16,2022-12-29,,La Salle,L,76,80,27,51,.529,2,12,.167,20,27,.741,7,24,11,9,4,16,22,,24,44,.545,9,18,.500,23,30,.767,6,25,11,9,3,19,22,2023,howard
16,17,2023-01-07,,Delaware State,W,84,64,30,51,.588,11,22,.500,13,19,.684,9,28,22,7,3,20,18,,24,53,.453,7,17,.412,9,13,.692,8,23,9,10,1,21,24,2023,howard
17,18,2023-01-09,@,Maryland-Eastern Shore,L,73,82,20,45,.444,8,25,.320,25,29,.862,3,20,10,11,4,21,21,,33,60,.550,6,16,.375,10,19,.526,13,30,20,11,3,20,21,2023,howard
18,19,2023-01-14,@,Norfolk State,W,86,84,24,59,.407,11,28,.393,27,34,.794,15,27,16,11,1,12,20,,29,55,.527,8,21,.381,18,21,.857,11,30,13,7,5,18,23,2023,howard
19,20,2023-01-16,,Morehouse,W,89,65,31,59,.525,13,27,.481,14,23,.609,9,35,18,10,2,17,18,,22,52,.423,10,20,.500,11,25,.440,7,26,11,10,0,27,24,2023,howard
20,,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,2023,howard
21,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,2023,howard
22,21,2023-01-21,,Morgan State,W,88,56,34,60,.567,9,19,.474,11,15,.733,5,32,26,12,3,19,17,,22,59,.373,3,16,.188,9,17,.529,3,16,6,10,4,22,18,2023,howard
23,22,2023-01-23,,Coppin State,W,90,76,31,65,.477,8,24,.333,20,29,.690,12,47,14,5,1,8,13,,27,63,.429,11,31,.355,11,15,.733,4,29,11,4,4,10,19,2023,howard
24,23,2023-01-28,,North Carolina Central,W,71,67,26,50,.520,8,15,.533,11,16,.688,9,29,17,7,5,18,20,,26,48,.542,3,12,.250,12,21,.571,5,20,9,9,1,19,17,2023,howard
25,24,2023-01-30,,South Carolina State,W,100,74,34,55,.618,12,21,.571,20,25,.800,7,31,23,6,4,19,18,,27,64,.422,9,23,.391,11,20,.550,11,22,9,11,1,15,21,2023,howard
26,25,2023-02-11,@,Delaware State,W (1 OT),86,85,30,60,.500,8,19,.421,18,24,.750,16,43,13,7,3,18,23,,29,67,.433,7,19,.368,20,27,.741,15,34,15,11,4,10,15,2023,howard
27,26,2023-02-13,,Maryland-Eastern Shore,W,78,69,27,57,.474,8,19,.421,16,24,.667,12,33,16,6,4,17,24,,20,57,.351,6,21,.286,23,28,.821,15,33,10,10,4,20,21,2023,howard
28,27,2023-02-18,@,Coppin State,W,80,70,27,63,.429,16,35,.457,10,14,.714,11,40,16,3,5,12,17,,28,63,.444,5,18,.278,9,16,.563,7,30,8,6,3,12,14,2023,howard
29,28,2023-02-20,@,Morgan State,L,76,89,26,66,.394,6,24,.250,18,27,.667,18,38,9,5,0,15,21,,30,55,.545,7,19,.368,22,33,.667,7,30,18,9,6,9,19,2023,howard
30,29,2023-02-25,@,North Carolina Central,L,60,68,26,72,.361,5,16,.313,3,4,.750,17,37,14,9,4,14,13,,25,58,.431,4,17,.235,14,17,.824,13,35,11,5,8,15,14,2023,howard
31,30,2023-02-27,@,South Carolina State,W,82,78,31,61,.508,11,24,.458,9,13,.692,11,28,17,8,1,20,23,,26,54,.481,5,21,.238,21,25,.840,9,28,12,6,3,17,13,2023,howard
32,31,2023-03-02,,Norfolk State,W,87,67,30,57,.526,14,26,.538,13,18,.722,9,35,19,5,2,10,20,,22,60,.367,5,14,.357,18,29,.621,14,33,2,6,1,9,17,2023,howard
33,32,2023-03-08,N,South Carolina State,W,91,55,35,69,.507,8,21,.381,13,20,.650,12,36,23,8,2,12,12,,21,64,.328,7,29,.241,6,11,.545,11,31,9,6,4,20,17,2023,howard
34,33,2023-03-10,N,Maryland-Eastern Shore,W,74,55,26,56,.464,7,21,.333,15,25,.600,13,41,17,4,7,20,16,,18,60,.300,3,21,.143,16,20,.800,11,31,6,13,1,15,21,2023,howard
35,34,2023-03-11,N,Norfolk State,W,65,64,19,47,.404,6,20,.300,21,30,.700,11,33,10,0,6,16,21,,22,58,.379,3,13,.231,17,24,.708,9,27,8,9,3,6,22,2023,howard
36,35,2023-03-16,N,Kansas,L,68,96,26,67,.388,10,32,.313,6,10,.600,10,31,18,8,1,18,14,,38,73,.521,9,22,.409,11,13,.846,14,37,22,13,7,12,11,2023,howard
0,1,2022-11-07,@,Denver,L,63,68,25,61,.410,6,30,.200,7,11,.636,8,28,10,9,1,14,26,,24,48,.500,3,8,.375,17,33,.515,7,35,13,6,6,14,18,2023,idaho
1,2,2022-11-10,,Walla Walla,W,122,48,46,72,.639,14,25,.560,16,30,.533,14,46,25,13,0,6,7,,19,58,.328,5,16,.313,5,9,.556,4,22,6,2,0,20,20,2023,idaho
2,3,2022-11-13,@,Omaha,L,72,79,22,47,.468,8,17,.471,20,21,.952,4,24,9,3,1,17,21,,27,56,.482,5,15,.333,20,23,.870,10,29,12,7,4,11,20,2023,idaho
3,4,2022-11-16,,Cal State Bakersfield,L,43,52,15,46,.326,7,28,.250,6,9,.667,7,28,11,2,2,16,14,,19,51,.373,4,11,.364,10,10,1.000,6,29,4,7,4,9,16,2023,idaho
4,5,2022-11-19,,Utah Tech,L,71,81,28,52,.538,4,15,.267,11,15,.733,4,20,14,5,1,12,22,,25,50,.500,9,24,.375,22,29,.759,11,32,14,6,1,14,17,2023,idaho
5,6,2022-11-23,@,Cal Poly,L,71,82,27,50,.540,7,14,.500,10,13,.769,4,17,13,2,1,9,21,,30,51,.588,5,13,.385,17,20,.850,6,21,9,5,3,7,18,2023,idaho
6,7,2022-11-25,@,Pacific,W,84,81,32,58,.552,6,22,.273,14,19,.737,9,27,14,4,0,9,18,,27,57,.474,7,13,.538,20,25,.800,8,26,15,4,1,9,20,2023,idaho
7,8,2022-12-02,,Northern Illinois,W,84,47,31,56,.554,11,28,.393,11,12,.917,4,33,13,6,2,16,12,,18,54,.333,3,14,.214,8,14,.571,6,25,6,11,2,15,16,2023,idaho
8,9,2022-12-06,,North Dakota,W,76,66,24,53,.453,10,19,.526,18,24,.750,4,28,11,9,7,8,14,,26,58,.448,8,21,.381,6,14,.429,9,36,9,5,2,12,22,2023,idaho
9,10,2022-12-11,,UC-Riverside,L,74,76,23,43,.535,6,12,.500,22,31,.710,3,25,8,3,0,10,19,,29,59,.492,8,22,.364,10,16,.625,7,29,11,3,1,7,25,2023,idaho
10,11,2022-12-16,,Northwest Indian College,W,125,51,45,88,.511,19,38,.500,16,19,.842,25,56,30,16,3,8,14,,15,53,.283,4,19,.211,17,20,.850,6,24,7,5,6,23,16,2023,idaho
11,12,2022-12-19,@,Cal State Northridge,W,76,73,24,50,.480,5,20,.250,23,25,.920,5,22,12,4,1,8,15,,27,55,.491,8,18,.444,11,14,.786,11,33,9,6,2,12,21,2023,idaho
12,13,2022-12-21,@,Long Beach State,L,75,82,26,57,.456,8,28,.286,15,22,.682,6,25,16,7,2,13,19,,26,54,.481,10,19,.526,20,30,.667,11,37,14,7,3,17,22,2023,idaho
13,14,2022-12-29,@,Montana State,L,58,72,22,55,.400,5,19,.263,9,11,.818,5,28,7,4,0,9,16,,27,55,.491,9,18,.500,9,13,.692,5,32,18,5,4,7,13,2023,idaho
14,15,2022-12-31,@,Montana,L,56,67,16,46,.348,6,20,.300,18,26,.692,5,31,8,1,2,11,13,,25,58,.431,7,21,.333,10,12,.833,6,32,12,7,9,6,20,2023,idaho
15,16,2023-01-05,,Sacramento State,L (1 OT),83,85,37,73,.507,4,16,.250,5,7,.714,5,28,14,5,5,6,18,,35,69,.507,3,11,.273,12,19,.632,10,40,11,6,1,8,10,2023,idaho
16,17,2023-01-07,,Portland State,L,58,74,21,53,.396,6,26,.231,10,15,.667,7,28,9,3,1,13,17,,26,50,.520,9,14,.643,13,17,.765,4,31,11,8,3,11,19,2023,idaho
17,18,2023-01-14,@,Eastern Washington,L,74,95,19,50,.380,8,21,.381,28,31,.903,7,26,5,2,2,12,18,,36,59,.610,7,19,.368,16,18,.889,6,30,15,7,2,9,23,2023,idaho
18,19,2023-01-16,,Montana State,W,74,70,26,57,.456,7,23,.304,15,26,.577,3,27,14,5,1,13,24,,20,53,.377,2,12,.167,28,34,.824,8,34,4,7,4,12,23,2023,idaho
19,20,2023-01-19,@,Northern Arizona,W,88,83,30,53,.566,7,16,.438,21,27,.778,5,30,11,3,1,7,13,,32,69,.464,11,32,.344,8,10,.800,10,28,16,5,1,6,20,2023,idaho
20,,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,2023,idaho
21,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,2023,idaho
22,21,2023-01-21,@,Northern Colorado,L,67,73,26,53,.491,6,15,.400,9,15,.600,4,27,9,4,5,12,16,,29,60,.483,4,16,.250,11,17,.647,9,34,11,10,2,8,18,2023,idaho
23,22,2023-01-26,,Weber State,L,65,73,21,49,.429,9,24,.375,14,19,.737,1,19,12,5,3,13,18,,26,46,.565,7,13,.538,14,19,.737,3,30,10,7,1,15,22,2023,idaho
24,23,2023-01-28,,Idaho State,L (1 OT),91,95,27,53,.509,8,22,.364,29,32,.906,6,24,10,4,1,11,23,,36,64,.563,9,20,.450,14,18,.778,11,30,13,7,2,12,25,2023,idaho
25,24,2023-02-02,@,Portland State,L,66,69,26,52,.500,1,9,.111,13,18,.722,3,29,16,6,2,17,14,,25,61,.410,8,21,.381,11,15,.733,9,33,14,6,5,14,24,2023,idaho
26,25,2023-02-04,@,Sacramento State,W (1 OT),82,76,33,52,.635,6,12,.500,10,12,.833,2,18,13,3,0,9,15,,31,60,.517,7,21,.333,7,12,.583,11,28,20,2,3,9,18,2023,idaho
27,26,2023-02-11,,Eastern Washington,L,66,73,21,56,.375,4,25,.160,20,22,.909,5,34,10,4,2,7,23,,23,59,.390,8,27,.296,19,31,.613,9,35,11,5,3,8,18,2023,idaho
28,27,2023-02-16,,Northern Colorado,W,84,82,29,61,.475,7,19,.368,19,21,.905,12,28,15,10,5,9,13,,30,59,.508,9,24,.375,13,17,.765,11,31,11,5,3,14,18,2023,idaho
29,28,2023-02-18,,Northern Arizona,L,50,72,19,51,.373,3,20,.150,9,14,.643,6,27,10,4,0,9,10,,30,57,.526,9,19,.474,3,4,.750,4,32,12,6,0,6,17,2023,idaho
30,29,2023-02-23,@,Idaho State,L,55,65,22,53,.415,3,9,.333,8,10,.800,8,22,8,6,1,7,18,,25,51,.490,4,13,.308,11,12,.917,11,34,14,3,6,9,13,2023,idaho
31,30,2023-02-25,@,Weber State,L,53,67,16,47,.340,9,23,.391,12,19,.632,4,32,10,4,2,13,17,,25,58,.431,9,23,.391,8,10,.800,5,34,11,8,1,8,16,2023,idaho
32,31,2023-02-27,,Montana,L,53,68,19,49,.388,2,10,.200,13,16,.813,6,27,4,2,2,11,11,,27,58,.466,8,20,.400,6,8,.750,7,31,11,4,6,10,16,2023,idaho
33,32,2023-03-04,N,Northern Arizona,L,76,87,26,51,.510,5,13,.385,19,25,.760,3,24,10,6,1,15,20,,28,55,.509,13,29,.448,18,22,.818,4,25,11,4,4,13,19,2023,idaho
0,1,2022-11-07,@,BYU,L,56,60,19,50,.380,8,25,.320,10,14,.714,3,29,7,15,2,21,20,,22,59,.373,3,16,.188,13,19,.684,11,38,9,12,4,23,20,2023,idaho state
1,2,2022-11-10,,Westcliff,W,97,56,34,67,.507,15,35,.429,14,15,.933,9,38,17,11,9,12,21,,18,58,.310,4,16,.250,16,25,.640,13,36,7,9,0,19,16,2023,idaho state
2,3,2022-11-14,@,Utah,L,58,70,22,63,.349,8,31,.258,6,9,.667,7,26,12,4,2,9,17,,24,53,.453,5,14,.357,17,22,.773,8,39,13,2,6,12,15,2023,idaho state
3,4,2022-11-18,,Denver,L,69,70,22,48,.458,7,18,.389,18,22,.818,7,29,12,5,3,13,18,,24,52,.462,4,17,.235,18,22,.818,6,24,8,8,3,12,16,2023,idaho state
4,5,2022-11-23,@,Lindenwood,L (1 OT),76,77,26,72,.361,12,38,.316,12,23,.522,11,29,17,13,2,8,10,,30,59,.508,6,14,.429,11,13,.846,7,42,10,5,5,19,22,2023,idaho state
5,6,2022-11-26,N,Bethune-Cookman,L (1 OT),66,68,25,56,.446,11,31,.355,5,6,.833,8,34,14,2,1,15,15,,27,62,.435,6,13,.462,8,11,.727,5,24,16,8,2,7,13,2023,idaho state
6,7,2022-11-27,@,Central Arkansas,L,77,81,30,63,.476,8,24,.333,9,14,.643,5,29,10,9,2,10,11,,34,71,.479,10,27,.370,3,5,.600,10,36,14,5,6,11,14,2023,idaho state
7,8,2022-11-29,@,Kansas City,W,75,65,23,53,.434,11,19,.579,18,20,.900,7,29,11,2,1,6,20,,22,57,.386,2,23,.087,19,25,.760,10,30,8,3,4,8,16,2023,idaho state
8,9,2022-12-03,,Southern Utah,L,59,69,21,55,.382,7,22,.318,10,16,.625,9,27,10,6,2,19,25,,19,48,.396,4,16,.250,27,31,.871,8,30,6,8,1,17,23,2023,idaho state
9,10,2022-12-06,,Montana Western,W,61,53,21,45,.467,8,24,.333,11,18,.611,6,30,12,3,2,10,10,,19,51,.373,9,29,.310,6,9,.667,7,27,10,4,0,6,20,2023,idaho state
10,11,2022-12-10,,St. Thomas,L,70,76,25,53,.472,9,25,.360,11,14,.786,11,32,14,3,8,13,16,,25,50,.500,8,17,.471,18,19,.947,4,23,14,7,1,11,20,2023,idaho state
11,12,2022-12-17,@,Washington,L,55,90,21,61,.344,5,27,.185,8,15,.533,7,26,12,5,3,11,14,,34,62,.548,9,22,.409,13,16,.813,7,41,24,8,4,11,12,2023,idaho state
12,13,2022-12-20,@,Grand Canyon,L,66,68,25,55,.455,5,20,.250,11,12,.917,5,26,9,6,4,10,17,,26,64,.406,4,17,.235,12,18,.667,15,37,13,7,0,10,16,2023,idaho state
13,14,2022-12-29,,Northern Arizona,W,79,53,28,52,.538,12,24,.500,11,14,.786,5,34,15,5,1,11,21,,20,52,.385,3,14,.214,10,18,.556,2,20,11,4,2,9,19,2023,idaho state
14,15,2022-12-31,,Northern Colorado,W (1 OT),90,83,27,63,.429,5,18,.278,31,35,.886,4,31,12,8,3,8,21,,26,64,.406,6,23,.261,25,32,.781,4,33,9,4,1,12,26,2023,idaho state
15,16,2023-01-07,@,Weber State,W,67,57,21,48,.438,4,18,.222,21,26,.808,9,33,12,9,0,14,23,,16,45,.356,3,19,.158,22,25,.880,5,26,8,9,0,15,22,2023,idaho state
16,17,2023-01-12,@,Montana State,L,68,81,25,49,.510,8,22,.364,10,19,.526,4,22,11,2,1,13,19,,26,50,.520,4,13,.308,25,28,.893,4,23,16,7,1,10,15,2023,idaho state
17,18,2023-01-14,@,Montana,L,55,84,20,59,.339,6,24,.250,9,13,.692,6,21,10,5,0,6,17,,28,51,.549,13,27,.481,15,18,.833,6,39,16,3,3,12,18,2023,idaho state
18,19,2023-01-19,,Sacramento State,W,65,61,23,51,.451,8,23,.348,11,16,.688,5,28,13,4,5,7,16,,23,58,.397,4,13,.308,11,16,.688,11,33,6,5,1,7,18,2023,idaho state
19,20,2023-01-21,,Portland State,L,65,72,21,40,.525,6,16,.375,17,25,.680,3,22,8,8,1,10,22,,23,49,.469,7,19,.368,19,23,.826,7,27,13,2,1,11,23,2023,idaho state
20,,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,2023,idaho state
21,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,2023,idaho state
22,21,2023-01-26,@,Eastern Washington,L,68,81,26,62,.419,7,28,.250,9,13,.692,8,24,12,6,1,7,16,,29,57,.509,6,24,.250,17,21,.810,11,38,15,3,1,10,17,2023,idaho state
23,22,2023-01-28,@,Idaho,W (1 OT),95,91,36,64,.563,9,20,.450,14,18,.778,11,30,13,7,2,12,25,,27,53,.509,8,22,.364,29,32,.906,6,24,10,4,1,11,23,2023,idaho state
24,23,2023-02-04,,Weber State,L (2 OT),71,72,22,52,.423,9,21,.429,18,23,.783,6,26,13,4,4,13,18,,27,57,.474,6,19,.316,12,16,.750,7,28,9,7,1,12,25,2023,idaho state
25,24,2023-02-06,@,Northern Arizona,W,75,70,28,59,.475,9,26,.346,10,13,.769,6,27,11,5,4,5,11,,28,59,.475,8,18,.444,6,8,.750,7,31,15,2,1,10,17,2023,idaho state
26,25,2023-02-09,,Montana,L,61,69,26,58,.448,3,18,.167,6,7,.857,12,37,8,6,5,10,18,,22,50,.440,10,18,.556,15,18,.833,4,23,11,6,1,7,9,2023,idaho state
27,26,2023-02-11,,Montana State,L,52,58,18,46,.391,5,10,.500,11,17,.647,6,30,12,2,5,18,22,,18,51,.353,2,14,.143,20,28,.714,12,32,5,13,2,10,20,2023,idaho state
28,27,2023-02-16,@,Portland State,L,70,79,31,59,.525,5,15,.333,3,6,.500,4,23,21,7,1,13,13,,30,53,.566,8,17,.471,11,16,.688,4,26,20,5,3,11,14,2023,idaho state
29,28,2023-02-18,@,Sacramento State,L,65,70,25,60,.417,7,22,.318,8,10,.800,9,27,13,5,1,9,20,,24,54,.444,6,20,.300,16,19,.842,12,38,17,3,3,15,15,2023,idaho state
30,29,2023-02-23,,Idaho,W,65,55,25,51,.490,4,13,.308,11,12,.917,11,34,14,3,6,9,13,,22,53,.415,3,9,.333,8,10,.800,8,22,8,6,1,7,18,2023,idaho state
31,30,2023-02-25,,Eastern Washington,W,71,63,23,55,.418,10,28,.357,15,20,.750,6,27,15,7,3,9,19,,20,50,.400,11,31,.355,12,15,.800,5,29,15,3,4,18,22,2023,idaho state
32,31,2023-02-27,@,Northern Colorado,L,72,87,28,64,.438,6,21,.286,10,16,.625,8,33,13,3,4,7,19,,32,58,.552,5,18,.278,18,24,.750,3,31,11,2,6,6,18,2023,idaho state
33,32,2023-03-06,N,Montana,L,74,83,27,52,.519,8,19,.421,12,16,.750,3,19,9,5,2,7,17,,31,54,.574,6,20,.300,15,18,.833,6,26,11,4,1,9,15,2023,idaho state
0,1,2022-11-07,,Eastern Illinois,W,87,57,30,64,.469,9,26,.346,18,33,.545,20,53,16,10,9,15,16,,21,60,.350,3,15,.200,12,20,.600,7,27,9,12,2,16,25,2023,illinois
