,g,date,unnamed: 2_level_1,opp,w/l,tm,opp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,trb,ast,stl,blk,tov,pf,unnamed: 23_level_1,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,trb,ast,stl,blk,tov,pf,season,team
5,6,2023-11-29,,Tennessee State,W (1 OT),85,83,25,58,.431,4,13,.308,31,39,.795,12,39,10,7,7,15,19,,29,70,.414,8,24,.333,17,26,.654,12,33,19,10,2,15,24,2024,alabama am
6,7,2023-12-02,@,Vanderbilt,L,59,78,18,63,.286,4,21,.190,19,20,.950,10,37,8,4,0,12,26,,23,53,.434,8,25,.320,24,34,.706,9,40,16,5,2,9,15,2024,alabama am
7,8,2023-12-09,@,Georgia Tech,L,49,70,16,58,.276,2,20,.100,15,20,.750,7,23,4,12,4,7,20,,24,56,.429,8,28,.286,14,22,.636,19,51,15,3,2,19,14,2024,alabama am
8,9,2023-12-11,@,Samford,L,91,118,31,61,.508,2,7,.286,27,39,.692,10,31,9,18,3,27,25,,36,66,.545,18,30,.600,28,33,.848,9,31,25,19,5,26,28,2024,alabama am
9,10,2023-12-13,,UAB,L,82,93,26,58,.448,11,23,.478,19,22,.864,9,26,14,5,4,12,23,,30,59,.508,8,15,.533,25,36,.694,16,39,19,9,3,10,19,2024,alabama am
10,11,2023-12-16,,Chattanooga,L,72,88,28,58,.483,4,19,.211,12,21,.571,9,27,13,5,4,14,21,,29,54,.537,10,26,.385,20,28,.714,7,34,16,9,1,12,21,2024,alabama am
11,12,2023-12-21,@,South Alabama,L,67,83,25,63,.397,1,12,.083,16,23,.696,9,37,7,6,5,14,18,,27,68,.397,6,25,.240,23,31,.742,14,43,9,6,3,9,23,2024,alabama am
12,13,2023-12-30,@,Georgia,L,73,93,25,53,.472,5,11,.455,18,23,.783,5,28,12,8,4,20,21,,34,67,.507,10,24,.417,15,27,.556,12,36,19,15,6,12,22,2024,alabama am
13,14,2024-01-06,@,Arkansas-Pine Bluff,W,63,62,26,52,.500,4,9,.444,7,14,.500,11,38,14,9,4,26,21,,19,51,.373,7,28,.250,17,21,.810,3,20,11,16,3,14,13,2024,alabama am
14,15,2024-01-08,@,Mississippi Valley State,W,78,70,27,54,.500,6,12,.500,18,25,.720,8,29,17,8,2,11,23,,23,55,.418,4,18,.222,20,25,.800,11,26,8,5,3,11,18,2024,alabama am
15,16,2024-01-11,,Alcorn State,L,71,74,25,54,.463,9,24,.375,12,16,.750,9,25,9,4,6,13,19,,27,62,.435,6,13,.462,14,21,.667,17,34,14,11,1,11,14,2024,alabama am
16,17,2024-01-13,,Jackson State,L,67,75,19,47,.404,4,12,.333,25,33,.758,7,30,7,2,5,13,25,,22,59,.373,8,22,.364,23,32,.719,14,35,9,6,3,11,24,2024,alabama am
17,18,2024-01-15,N,Alabama State,L,55,72,18,45,.400,3,14,.214,16,27,.593,11,35,5,5,10,19,19,,23,60,.383,9,19,.474,17,21,.810,12,31,11,11,5,8,21,2024,alabama am
18,19,2024-01-27,@,Texas Southern,L,69,85,18,52,.346,5,16,.313,28,36,.778,8,25,8,6,1,12,29,,22,53,.415,9,19,.474,32,42,.762,14,41,13,9,3,16,24,2024,alabama am
19,20,2024-01-29,@,Prairie View,L,76,87,28,60,.467,6,16,.375,14,26,.538,7,28,15,13,4,18,26,,28,56,.500,2,6,.333,29,38,.763,9,35,10,11,3,15,19,2024,alabama am
20,,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,2024,alabama am
21,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,2024,alabama am
22,21,2024-02-03,,Florida A&M,W,73,61,21,48,.438,5,16,.313,26,34,.765,5,30,11,13,3,13,15,,24,60,.400,4,16,.250,9,14,.643,8,35,15,7,1,15,20,2024,alabama am
23,22,2024-02-05,,Bethune-Cookman,W,72,68,24,52,.462,4,13,.308,20,27,.741,12,36,11,4,2,16,16,,22,53,.415,7,22,.318,17,21,.810,4,22,10,12,5,12,19,2024,alabama am
24,23,2024-02-10,@,Southern,L,62,69,21,52,.404,4,13,.308,16,24,.667,9,32,7,4,4,20,27,,18,54,.333,5,18,.278,28,37,.757,13,33,12,11,7,11,23,2024,alabama am
25,24,2024-02-12,@,Grambling,W,60,50,19,56,.339,0,9,.000,22,30,.733,16,50,4,8,4,17,19,,16,55,.291,2,16,.125,16,27,.593,11,31,4,11,6,13,19,2024,alabama am
26,25,2024-02-17,,Mississippi Valley State,W,80,57,25,51,.490,5,14,.357,25,29,.862,8,31,12,8,6,10,21,,17,52,.327,5,16,.313,18,22,.818,9,24,5,7,1,16,22,2024,alabama am
27,26,2024-02-19,,Arkansas-Pine Bluff,W,75,67,27,69,.391,3,16,.188,18,28,.643,14,46,14,8,5,10,17,,21,66,.318,9,34,.265,16,19,.842,7,38,12,4,2,12,22,2024,alabama am
28,27,2024-02-24,@,Bethune-Cookman,L,61,63,21,42,.500,4,9,.444,15,23,.652,4,27,19,6,4,19,22,,19,54,.352,4,15,.267,21,25,.840,9,26,10,12,2,11,18,2024,alabama am
29,28,2024-02-26,@,Florida A&M,L,58,76,21,47,.447,2,13,.154,14,21,.667,9,26,6,9,3,23,16,,28,55,.509,7,12,.583,13,16,.813,8,27,13,15,4,16,16,2024,alabama am
30,29,2024-03-02,,Alabama State,W,58,53,19,51,.373,3,14,.214,17,24,.708,11,40,8,7,9,12,14,,16,60,.267,10,27,.370,11,14,.786,9,28,12,9,6,11,18,2024,alabama am
31,30,2024-03-07,,Grambling,L,73,74,26,58,.448,3,13,.231,18,23,.783,12,29,12,10,0,15,24,,22,45,.489,2,6,.333,28,33,.848,8,29,6,11,2,17,23,2024,alabama am
32,31,2024-03-09,,Southern,W,66,56,21,45,.467,5,13,.385,19,28,.679,6,24,12,10,3,12,18,,16,43,.372,7,24,.292,17,23,.739,9,27,11,5,4,23,22,2024,alabama am
33,32,2024-03-13,N,Alcorn State,W,75,63,23,56,.411,7,22,.318,22,26,.846,11,38,15,5,3,13,22,,20,54,.370,5,17,.294,18,25,.720,8,32,11,8,1,13,21,2024,alabama am
34,33,2024-03-15,N,Texas Southern,L,65,72,20,55,.364,4,17,.235,21,28,.750,7,32,9,5,6,12,21,,25,58,.431,6,19,.316,16,20,.800,5,28,10,6,3,9,22,2024,alabama am
35,34,2024-03-20,@,Austin Peay,W,81,71,31,58,.534,1,9,.111,18,24,.750,11,46,11,6,6,17,17,,24,67,.358,6,29,.207,17,22,.773,10,28,10,10,1,9,17,2024,alabama am
36,35,2024-03-23,@,Norfolk State,L,66,81,22,54,.407,8,19,.421,14,17,.824,7,27,14,4,3,14,15,,31,66,.470,8,20,.400,11,16,.688,14,35,18,10,1,7,15,2024,alabama am
0,1,2023-11-06,@,Ole Miss,L,59,69,17,62,.274,9,25,.360,16,21,.762,7,38,9,6,3,11,20,,25,68,.368,7,29,.241,12,25,.480,11,43,14,6,8,8,15,2024,alabama state
1,2,2023-11-10,@,Iowa,L,67,98,23,65,.354,6,22,.273,15,20,.750,12,39,7,5,3,15,29,,33,72,.458,9,29,.310,23,35,.657,17,44,27,6,3,6,15,2024,alabama state
2,3,2023-11-14,,Oglethorpe,W,115,51,41,76,.539,12,32,.375,21,27,.778,15,54,24,15,9,9,17,,15,56,.268,7,29,.241,14,22,.636,4,23,7,4,2,19,16,2024,alabama state
3,4,2023-11-17,@,Memphis,L,75,92,27,86,.314,10,26,.385,11,15,.733,22,37,11,12,3,8,22,,32,61,.525,11,25,.440,17,23,.739,12,46,12,7,7,17,14,2024,alabama state
4,5,2023-11-22,@,Samford,L,67,99,24,69,.348,7,29,.241,12,19,.632,11,29,10,8,2,10,16,,36,62,.581,16,35,.457,11,15,.733,6,38,26,5,1,13,15,2024,alabama state
5,6,2023-11-24,N,North Carolina A&T,W,88,73,34,61,.557,7,16,.438,13,20,.650,10,34,16,6,1,10,23,,19,55,.345,8,29,.276,27,32,.844,7,26,12,6,3,10,17,2024,alabama state
6,7,2023-11-25,N,Merrimack,W (1 OT),66,60,20,63,.317,4,20,.200,22,26,.846,9,40,11,7,2,12,21,,18,56,.321,5,29,.172,19,24,.792,7,37,11,9,0,16,20,2024,alabama state
7,8,2023-12-03,,Mississippi University for Women,W,80,60,28,66,.424,10,27,.370,14,19,.737,13,36,16,8,5,9,11,,22,58,.379,10,27,.370,6,10,.600,9,33,13,5,4,16,18,2024,alabama state
8,9,2023-12-13,@,LSU,L,56,74,22,61,.361,9,26,.346,3,8,.375,11,29,10,5,1,13,18,,25,48,.521,9,23,.391,15,23,.652,6,34,11,9,3,14,16,2024,alabama state
9,10,2023-12-19,,USC,L,59,79,23,70,.329,8,27,.296,5,9,.556,6,33,13,7,7,9,20,,24,60,.400,10,27,.370,21,28,.750,12,49,16,4,6,11,14,2024,alabama state
10,11,2023-12-22,@,Auburn,L,62,82,22,56,.393,4,18,.222,14,16,.875,5,21,7,14,5,17,24,,25,54,.463,6,24,.250,26,32,.813,10,35,14,11,5,17,13,2024,alabama state
11,12,2023-12-29,@,South Florida,L,70,73,26,68,.382,10,24,.417,8,12,.667,15,35,14,6,2,7,21,,21,48,.438,14,29,.483,17,21,.810,3,28,14,3,4,8,12,2024,alabama state
12,13,2024-01-02,,Johnson (FL),W,84,53,37,76,.487,0,17,.000,10,13,.769,14,44,9,15,5,9,17,,18,54,.333,7,21,.333,10,17,.588,5,29,9,4,2,22,11,2024,alabama state
13,14,2024-01-06,@,Mississippi Valley State,W,54,51,18,53,.340,2,17,.118,16,26,.615,13,34,5,8,0,11,18,,17,40,.425,5,13,.385,12,18,.667,4,33,8,6,4,15,19,2024,alabama state
